riego,geno,block,bloque,spad_29,spad_83,rwc_84,op_84,leafdw,stemdw,rootdw,tubdw,biomdw,hi,ttrans,wue,twue,lfa
sequia,G01,2,II,56.30,41.10,61.48,-2.43,13.28,14.87,3.83,19.80,51.78,0.45,4.50,11.51,4.40,2900
sequia,G02,4,IV,52.70,47.90,63.16,-3.03,9.42,8.63,2.10,17.67,37.82,0.43,3.54,10.69,4.99,2619
irrigado,G01,3,III,49.20,41.60,67.73,-2.50,18.22,24.19,3.16,38.02,83.59,0.45,8.39,9.97,4.53,7579
sequia,G02,1,I,55.50,44.20,64.94,-2.40,8.84,6.58,2.00,13.51,30.93,0.44,2.90,10.65,4.65,2450
irrigado,G03,2,II,58.20,32.60,74.46,-2.27,14.55,12.63,1.83,51.15,80.16,0.64,7.37,10.88,6.94,5413
irrigado,G04,5,V,43.50,37.80,74.04,-2.37,19.77,17.46,2.83,62.54,102.60,0.61,10.05,10.21,6.23,9791
irrigado,G01,1,I,57.40,42.50,72.74,-1.77,15.01,15.32,2.28,22.45,55.06,0.41,6.39,8.62,3.51,7038
irrigado,G05,4,IV,56.10,35.90,72.81,-2.33,19.88,14.55,3.65,51.44,89.52,0.57,9.26,9.67,5.55,9794
sequia,G06,2,II,61.00,57.50,59.79,-3.23,19.89,21.19,4.04,2.37,47.49,0.05,4.36,10.88,0.54,3199
sequia,G05,1,I,60.30,41.80,50.77,-2.87,12.28,11.14,4.17,28.74,56.33,0.51,5.16,10.92,5.57,1658
irrigado,G01,2,II,58.90,43.10,65.71,-1.83,18.44,18.13,3.01,36.06,75.64,0.48,8.32,9.09,4.33,7983
sequia,G07,2,II,65.50,45.60,69.93,-2.73,4.24,3.70,1.52,19.79,29.25,0.68,2.53,11.58,7.84,1098
irrigado,G08,2,II,61.30,44.00,68.77,-2.03,18.63,12.48,6.45,21.96,59.52,0.37,6.75,8.82,3.25,7310
irrigado,G06,3,III,64.30,47.00,64.75,-1.93,23.37,29.49,6.63,15.66,75.15,0.21,7.52,9.99,2.08,6577
irrigado,G09,3,III,57.10,35.80,68.54,-2.50,22.04,16.96,2.82,57.22,99.04,0.58,11.01,9.00,5.20,10765
irrigado,G10,2,II,56.00,39.80,64.62,-2.03,10.20,8.20,1.02,26.29,45.71,0.58,5.41,8.45,4.86,5171
sequia,G11,1,I,58.00,28.90,57.91,-2.77,12.85,7.90,2.69,41.95,65.39,0.64,5.00,13.07,8.39,1556
sequia,G12,3,III,52.90,40.90,60.91,-3.10,11.78,9.19,5.48,19.21,45.66,0.42,4.47,10.22,4.30,2425
irrigado,G07,1,I,56.40,32.90,79.82,-2.00,2.03,2.48,0.49,12.79,17.79,0.72,2.38,7.48,5.38,1065
irrigado,G04,2,II,48.80,33.30,72.21,-2.27,20.38,20.75,3.44,46.89,91.46,0.51,9.34,9.79,5.02,10812
irrigado,G13,2,II,60.70,41.10,65.65,-2.30,23.80,18.97,5.01,22.03,69.81,0.32,9.25,7.55,2.38,9744
irrigado,G14,3,III,64.90,27.80,59.66,-2.20,10.07,14.57,4.56,18.21,47.41,0.38,7.93,5.98,2.30,7895
irrigado,G04,4,IV,51.10,35.50,71.44,-2.07,22.19,18.84,3.24,57.32,101.59,0.56,10.19,9.97,5.63,10306
sequia,G04,5,V,46.90,41.40,54.05,-2.80,11.25,8.79,1.85,22.34,44.23,0.51,3.52,12.58,6.35,3219
sequia,G08,5,V,64.20,52.80,48.54,-2.93,11.25,8.17,5.47,18.90,43.79,0.43,3.65,12.00,5.18,2698
sequia,G04,3,III,45.80,38.50,49.50,-3.33,13.52,12.53,3.68,26.94,56.67,0.48,4.88,11.61,5.52,3264
sequia,G01,4,IV,58.80,49.00,48.41,-2.73,14.06,16.26,3.11,27.56,60.99,0.45,5.97,10.21,4.62,2995
irrigado,G10,1,I,53.30,37.50,70.02,-2.53,12.40,11.19,1.55,19.44,44.58,0.44,5.68,7.85,3.42,6164
irrigado,G08,5,V,62.80,45.30,62.03,-2.57,17.83,11.18,6.27,28.52,63.80,0.45,7.07,9.02,4.03,7470
irrigado,G02,5,V,51.40,41.10,69.75,-2.37,16.00,12.14,2.37,30.23,60.74,0.50,6.33,9.60,4.78,5234
irrigado,G07,3,III,59.50,36.10,74.15,-2.23,4.00,4.78,1.09,42.67,52.54,0.81,5.84,9.00,7.31,1607
irrigado,G08,1,I,56.40,48.50,72.77,-1.73,18.58,12.52,6.40,25.48,62.98,0.40,7.51,8.38,3.39,6998
irrigado,G14,5,V,61.80,36.30,65.13,-2.37,27.58,23.96,7.23,48.56,107.33,0.45,11.50,9.33,4.22,8979
irrigado,G03,1,I,59.60,36.00,68.81,-2.30,13.69,11.18,1.45,29.93,56.25,0.53,5.87,9.59,5.10,5546
sequia,G13,3,III,55.60,44.90,66.65,-2.40,11.39,7.79,5.05,12.25,36.48,0.34,3.37,10.82,3.63,3120
sequia,G01,5,V,58.60,48.50,62.83,-2.93,11.18,11.97,2.98,19.44,45.57,0.43,4.09,11.15,4.76,3000
sequia,G03,1,I,58.70,40.20,56.19,-3.23,10.66,9.03,3.50,27.00,50.19,0.54,3.85,13.04,7.02,2274
irrigado,G15,3,III,56.00,41.30,68.39,-2.50,15.48,11.17,2.88,78.62,108.15,0.73,10.37,10.43,7.58,6303
irrigado,G03,4,IV,57.30,35.30,69.38,-2.07,16.41,12.20,2.30,67.71,98.62,0.69,8.13,12.13,8.33,5306
irrigado,G09,4,IV,52.10,38.90,74.49,-2.70,25.08,18.17,3.29,86.16,132.70,0.65,12.30,10.79,7.01,8534
irrigado,G11,2,II,63.90,43.80,79.81,-1.40,12.48,4.90,1.96,38.76,58.10,0.67,4.89,11.87,7.92,3966
sequia,G03,5,V,48.90,43.80,62.78,-3.13,10.28,8.73,1.60,27.72,48.33,0.57,3.79,12.76,7.32,2148
sequia,G11,3,III,64.20,39.30,51.21,-2.93,10.56,5.56,2.66,40.64,59.42,0.68,4.52,13.13,8.98,2301
irrigado,G06,5,V,54.90,42.40,70.46,-2.00,22.91,23.77,3.97,13.72,64.37,0.21,7.23,8.91,1.90,9040
sequia,G05,5,V,56.50,40.20,58.91,-2.97,13.25,11.52,3.88,36.86,65.51,0.56,5.88,11.14,6.27,1772
sequia,G08,4,IV,64.20,44.50,47.79,-2.57,12.12,8.44,6.12,17.49,44.17,0.40,4.44,9.96,3.94,2021
irrigado,G11,4,IV,62.10,38.40,80.02,-2.57,18.18,7.53,3.35,52.67,81.73,0.64,9.25,8.84,5.70,8006
sequia,G11,2,II,62.70,44.60,63.36,-2.53,7.26,3.11,1.85,24.40,36.62,0.67,2.98,12.27,8.18,1942
irrigado,G10,3,III,55.20,42.30,60.74,-2.13,16.20,14.77,2.42,48.73,82.12,0.59,8.01,10.25,6.08,6029
sequia,G06,4,IV,53.30,54.20,62.77,-2.27,16.19,17.45,4.64,5.68,43.96,0.13,4.57,9.61,1.24,3550
sequia,G09,1,I,43.90,47.30,57.47,-2.70,14.34,13.36,4.25,21.00,52.95,0.40,4.68,11.30,4.48,3238
irrigado,G11,1,I,60.80,38.80,70.73,-2.43,21.08,7.27,2.11,41.47,71.93,0.58,5.93,12.13,6.99,6210
sequia,G11,4,IV,58.60,45.30,56.90,-2.87,10.58,5.72,2.29,45.43,64.02,0.71,4.91,13.05,9.26,2238
irrigado,G15,4,IV,54.40,40.20,63.66,-2.97,12.69,11.76,1.83,45.41,71.69,0.63,6.73,10.65,6.74,6270
irrigado,G13,4,IV,64.40,43.50,67.98,-2.17,22.93,19.83,6.44,27.44,76.64,0.36,9.36,8.19,2.93,9430
sequia,G14,5,V,56.90,46.10,49.27,-2.63,16.13,12.94,5.77,30.27,65.11,0.46,4.97,13.10,6.09,3665
irrigado,G02,4,IV,52.60,37.60,71.55,-2.00,17.71,14.01,2.48,25.48,59.68,0.43,7.04,8.48,3.62,7392
irrigado,G09,2,II,51.10,40.30,58.57,-2.47,24.46,19.20,3.54,68.89,116.09,0.59,11.21,10.35,6.14,12296
irrigado,G02,3,III,51.60,41.40,64.26,-2.00,15.03,12.12,1.81,27.18,56.14,0.48,6.36,8.83,4.28,5163
sequia,G08,3,III,64.50,58.60,53.00,-2.80,14.07,10.10,8.50,14.55,47.22,0.31,4.62,10.22,3.15,2551
irrigado,G06,2,II,63.90,46.30,71.26,-2.33,21.90,24.35,4.02,9.58,59.85,0.16,6.33,9.46,1.51,6939
sequia,G13,4,IV,59.50,50.80,56.60,-3.37,14.40,11.52,4.98,15.25,46.15,0.33,4.69,9.85,3.26,3062
sequia,G14,3,III,57.10,43.80,59.88,-3.07,15.91,13.37,7.24,19.05,55.57,0.34,4.70,11.82,4.05,3450
sequia,G04,2,II,45.20,42.40,60.49,-3.07,14.10,15.02,0.52,27.52,57.16,0.48,5.49,10.41,5.01,2511
irrigado,G11,3,III,63.90,40.20,65.92,-2.40,18.40,10.32,2.60,64.12,95.44,0.67,7.86,12.14,8.16,8867
irrigado,G07,2,II,57.70,48.20,75.73,-2.30,2.57,1.71,0.38,11.81,16.47,0.72,1.97,8.38,6.01,1069
irrigado,G08,4,IV,60.70,48.10,62.46,-2.63,20.29,14.28,7.33,26.72,68.62,0.39,7.11,9.65,3.76,7644
sequia,G05,4,IV,53.00,41.70,54.78,-3.10,9.75,80.65,2.60,21.54,114.54,0.19,4.37,26.23,4.93,1821
irrigado,G04,1,I,43.80,34.50,78.23,-2.00,14.70,12.80,1.59,18.95,48.04,0.39,5.68,8.45,3.34,8569
irrigado,G11,5,V,62.00,40.70,73.12,-1.83,19.16,7.99,2.75,59.92,89.82,0.67,7.66,11.72,7.82,7225
irrigado,G12,1,I,50.00,41.00,63.83,-2.10,19.18,19.60,4.62,40.62,84.02,0.48,8.82,9.52,4.60,7194
sequia,G14,4,IV,59.30,47.90,55.56,-3.13,18.43,13.97,5.92,22.97,61.29,0.37,5.79,10.59,3.97,3318
sequia,G07,3,III,54.00,43.70,62.52,-2.43,3.35,3.09,1.39,20.52,28.35,0.72,2.40,11.83,8.56,811
irrigado,G03,3,III,60.23,30.00,57.28,-2.17,11.28,8.56,1.61,35.59,57.04,0.62,5.50,10.38,6.48,5450
sequia,G01,1,I,54.00,46.30,59.06,-3.13,10.37,10.44,2.45,15.33,38.59,0.40,3.71,10.40,4.13,3100
sequia,G04,1,I,47.90,39.90,55.51,-3.10,13.55,13.73,2.85,25.92,56.05,0.46,5.40,10.38,4.80,3010
sequia,G03,2,II,56.50,43.30,62.17,-3.00,9.50,8.33,3.36,35.63,56.82,0.63,4.26,13.33,8.36,2108
irrigado,G15,2,II,54.40,44.80,70.61,-2.13,16.68,11.78,2.48,78.64,109.58,0.72,9.81,11.17,8.01,6305
sequia,G12,4,IV,51.60,45.50,52.04,-3.03,12.61,12.30,4.06,20.44,49.41,0.41,5.49,9.00,3.72,2480
sequia,G12,1,I,56.30,42.50,62.22,-2.50,13.16,13.91,6.17,22.21,55.45,0.40,4.89,11.35,4.55,2400
sequia,G08,1,I,60.00,54.40,61.81,-2.33,7.69,5.14,5.44,4.05,22.32,0.18,2.42,9.21,1.67,2320
sequia,G05,2,II,53.40,41.10,58.38,-2.53,11.26,11.65,2.19,21.59,46.69,0.46,5.07,9.22,4.26,1700
sequia,G02,2,II,53.10,42.90,63.15,-2.83,9.51,8.46,2.13,10.20,30.30,0.34,2.86,10.58,3.56,2966
sequia,G10,1,I,58.10,41.10,50.54,-2.57,9.00,9.84,2.04,21.36,42.24,0.51,3.57,11.85,5.99,3136
sequia,G15,1,I,53.30,44.20,51.91,-2.87,11.22,11.43,2.40,50.53,75.58,0.67,6.25,12.09,8.09,1815
irrigado,G07,5,V,60.80,38.70,66.63,-2.20,2.36,1.71,0.66,13.48,18.21,0.74,2.30,7.93,5.87,1140
sequia,G10,5,V,56.90,39.70,60.11,-2.63,8.11,6.36,1.50,31.69,47.66,0.66,3.50,13.62,9.06,2909
sequia,G13,2,II,59.50,45.70,45.11,-3.27,13.03,12.34,6.17,16.10,47.64,0.34,5.61,8.49,2.87,3110
sequia,G07,5,V,62.40,23.50,79.66,-2.97,4.02,2.71,0.43,14.79,21.95,0.67,2.21,9.92,6.69,496
sequia,G03,3,III,57.80,36.30,69.85,-2.83,10.03,7.16,1.21,30.19,48.59,0.62,3.81,12.74,7.92,1954
sequia,G15,4,IV,52.30,45.20,62.21,-2.53,12.08,11.19,2.78,39.54,65.59,0.60,5.50,11.92,7.19,1750
sequia,G13,1,I,59.80,44.70,51.96,-2.73,16.20,12.23,8.75,18.67,55.85,0.33,6.57,8.50,2.84,3192
sequia,G03,4,IV,57.20,37.10,59.56,-3.13,10.17,8.37,1.78,30.92,51.24,0.60,4.07,12.60,7.60,1812
irrigado,G10,5,V,61.00,38.30,75.17,-2.87,10.54,11.74,1.72,34.49,58.49,0.59,7.17,8.15,4.81,4249
sequia,G13,5,V,61.10,45.70,62.85,-3.17,15.03,11.82,6.00,21.13,53.98,0.39,4.72,11.44,4.48,3146
sequia,G09,2,II,51.70,42.50,53.05,-2.73,18.03,17.02,3.71,34.89,73.65,0.47,7.08,10.40,4.93,3235
irrigado,G14,4,IV,58.90,38.00,66.91,-2.07,24.48,17.89,6.87,53.68,102.92,0.52,9.49,10.85,5.66,9776
irrigado,G01,5,V,48.90,41.30,70.73,-1.67,14.29,13.80,1.70,28.16,57.95,0.49,6.42,9.03,4.39,6540
sequia,G01,3,III,53.30,44.60,56.95,-2.83,15.05,15.37,5.73,33.12,69.27,0.48,6.43,10.77,5.15,3204
irrigado,G06,4,IV,64.70,48.60,62.10,-1.87,26.84,33.52,8.33,34.79,103.48,0.34,10.27,10.08,3.39,7864
sequia,G04,4,IV,48.20,39.90,56.19,-3.27,11.68,12.56,1.96,26.66,52.86,0.50,4.92,10.74,5.41,2890
irrigado,G15,5,V,59.60,38.40,70.11,-2.33,18.73,12.13,3.03,62.46,96.35,0.65,8.18,11.78,7.64,6522
irrigado,G13,3,III,54.80,42.20,64.30,-2.07,24.04,17.36,4.73,25.72,71.85,0.36,7.67,9.37,3.36,7181
irrigado,G02,2,II,51.00,39.90,67.33,-2.50,15.66,12.58,2.50,29.09,59.83,0.49,6.94,8.62,4.19,6478
sequia,G08,2,II,63.10,48.30,51.05,-2.93,12.76,10.31,6.95,10.52,40.54,0.26,4.07,9.97,2.59,2279
irrigado,G04,3,III,48.10,33.90,75.63,-2.33,19.78,19.29,2.58,76.86,118.51,0.65,10.40,11.40,7.39,8867
sequia,G02,5,V,57.80,44.20,65.00,-2.37,9.81,8.39,2.04,13.42,33.66,0.40,3.55,9.49,3.78,3063
sequia,G06,5,V,58.30,55.30,60.17,-2.27,14.81,13.12,4.46,12.78,45.17,0.28,3.71,12.17,3.44,3160
irrigado,G15,1,I,58.20,37.80,70.25,-2.87,18.08,12.14,2.82,68.86,101.90,0.68,9.34,10.91,7.37,6435
irrigado,G13,5,V,58.70,42.60,77.84,-2.37,22.58,18.16,6.89,26.68,74.31,0.36,9.24,8.04,2.89,8750
irrigado,G05,5,V,57.10,36.50,73.99,-2.13,16.34,12.03,2.24,36.46,67.07,0.54,7.70,8.71,4.73,8190
sequia,G09,3,III,52.20,44.90,59.01,-2.87,17.31,16.71,3.54,37.41,74.97,0.50,6.93,10.82,5.40,2962
sequia,G09,5,V,49.80,46.20,50.79,-3.17,15.06,10.97,2.69,44.54,73.26,0.61,5.83,12.57,7.64,2781
sequia,G10,2,II,51.40,39.70,53.54,-3.13,8.42,7.44,1.89,22.76,40.51,0.56,3.67,11.04,6.20,2941
irrigado,G07,4,IV,54.00,50.70,69.44,-2.33,5.99,4.06,1.21,35.35,46.61,0.76,4.37,10.66,8.08,1989
irrigado,G05,1,I,51.90,34.40,67.36,-1.87,16.82,13.07,2.07,36.44,68.40,0.53,8.21,8.33,4.44,7206
irrigado,G02,1,I,52.70,39.80,73.44,-2.07,11.16,8.54,1.75,13.17,34.62,0.38,4.14,8.37,3.18,4631
sequia,G05,3,III,55.20,45.70,65.30,-3.30,11.51,10.02,4.42,26.82,52.77,0.51,5.02,10.51,5.34,1967
irrigado,G12,2,II,56.50,39.70,69.17,-1.97,14.90,17.81,5.03,31.66,69.40,0.46,7.92,8.76,4.00,6111
sequia,G15,3,III,54.80,41.30,54.00,-2.67,10.73,10.95,3.93,33.75,59.36,0.57,5.01,11.84,6.73,1601
irrigado,G13,1,I,57.80,42.70,70.48,-2.27,21.38,16.27,4.69,23.81,66.15,0.36,7.94,8.33,3.00,8257
sequia,G14,2,II,62.50,46.40,59.95,-2.70,20.96,17.86,5.33,27.86,72.01,0.39,6.07,11.87,4.59,3812
sequia,G12,2,II,47.00,39.70,54.79,-3.20,14.70,16.82,6.47,23.44,61.43,0.38,6.32,9.73,3.71,2439
sequia,G15,2,II,53.80,49.20,47.69,-2.73,13.31,11.82,4.29,23.78,53.20,0.45,4.43,12.01,5.37,1560
irrigado,G09,5,V,47.20,45.40,68.25,-2.13,20.79,14.22,2.99,56.52,94.52,0.60,7.89,11.98,7.16,8925
sequia,G06,1,I,59.70,52.70,57.10,-2.53,17.62,16.22,5.57,5.17,44.58,0.12,4.10,10.88,1.26,3382
sequia,G09,4,IV,54.70,43.80,52.20,-2.87,15.52,14.02,3.14,44.83,77.51,0.58,6.97,11.12,6.43,3150
sequia,G15,5,V,53.30,41.10,58.64,-2.90,12.56,10.32,2.76,49.95,75.59,0.66,6.16,12.27,8.11,1177
irrigado,G14,1,I,57.00,34.70,60.54,-2.03,23.46,19.93,5.68,29.72,78.79,0.38,8.56,9.20,3.47,6050
sequia,G06,3,III,64.20,53.10,58.03,-2.93,14.82,17.45,5.18,4.32,41.77,0.10,3.94,10.59,1.10,3450
irrigado,G01,4,IV,55.20,40.60,70.55,-2.37,18.66,16.97,3.47,45.29,84.39,0.54,9.43,8.95,4.80,7750
irrigado,G12,3,III,58.70,39.60,62.34,-2.07,19.55,19.78,6.24,53.58,99.15,0.54,10.36,9.57,5.17,7164
sequia,G12,5,V,56.30,46.80,59.53,-3.13,11.42,14.22,4.65,19.75,50.04,0.39,5.48,9.13,3.60,2488
irrigado,G12,5,V,54.80,35.90,68.47,-2.63,20.24,17.61,5.35,61.34,104.54,0.59,11.32,9.23,5.42,8604
sequia,G11,5,V,57.80,44.90,56.19,-2.40,8.28,3.95,2.06,23.80,38.09,0.62,2.93,13.01,8.13,2274
irrigado,G12,4,IV,57.70,36.50,67.87,-2.27,18.97,19.87,7.36,34.09,80.29,0.42,9.29,8.64,3.67,8013
irrigado,G09,1,I,49.70,37.20,72.95,-2.77,14.07,16.05,2.85,50.34,83.31,0.60,9.76,8.54,5.16,10919
sequia,G02,3,III,51.90,44.90,59.77,-2.80,10.35,9.76,4.15,16.80,41.06,0.41,3.83,10.72,4.39,2487
sequia,G07,1,I,60.30,25.10,63.73,-1.97,3.37,2.97,0.65,11.63,18.62,0.62,2.20,8.48,5.30,216
irrigado,G08,3,III,62.40,39.40,58.45,-2.67,16.92,11.61,5.56,39.26,73.35,0.54,8.85,8.29,4.44,7013
irrigado,G06,1,I,60.50,48.80,67.52,-2.07,21.92,26.46,4.82,12.21,65.41,0.19,7.42,8.82,1.65,6857
irrigado,G10,4,IV,53.90,35.30,78.15,-1.97,8.94,5.03,0.80,20.38,35.15,0.58,3.29,10.68,6.19,4743
irrigado,G03,5,V,57.80,36.80,66.43,-2.60,13.78,10.76,1.66,47.52,73.72,0.64,6.96,10.59,6.82,5370
sequia,G07,4,IV,57.50,45.20,63.65,-2.90,2.26,0.97,0.42,10.75,14.40,0.75,1.48,9.70,7.24,782
irrigado,G05,3,III,57.20,39.00,58.68,-2.27,19.75,15.19,3.26,61.60,99.80,0.62,10.17,9.82,6.06,8913
sequia,G14,1,I,58.30,45.60,65.58,-3.00,14.33,10.62,7.67,19.63,52.25,0.38,4.42,11.83,4.45,3327
sequia,G10,3,III,54.30,39.20,52.73,-3.00,10.68,11.27,2.18,30.86,54.99,0.56,5.63,9.77,5.49,3096
irrigado,G14,2,II,62.30,39.10,71.70,-2.20,22.04,17.86,6.61,37.46,83.97,0.45,9.06,9.27,4.14,9221
irrigado,G05,2,II,58.50,36.90,69.40,-2.47,19.67,16.57,4.18,70.07,110.49,0.63,11.75,9.41,5.97,10291
sequia,G10,4,IV,54.20,40.50,51.29,-2.83,7.84,6.58,1.92,26.09,42.43,0.61,4.12,10.30,6.33,2541